Vin (mV),Gap N (mV),Gap P (mV),Gap Diff (mV),Detection Gain (V/V)
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,"5,43E-01","5,43E-01","5,43E-02"
11,"1,13","6,63E-01","1,79E+00","1,63E-01"
12,"8,87E-02","7,91E-01","8,80E-01","7,33E-02"
13,"1,744","9,01E-01","2,65E+00","2,03E-01"
14,"1,957","1,05","3,007","0,2147857143"
15,"1,71","1,274","2,984","0,1989333333"
16,"1,785","1,445","3,23","0,201875"
17,"2,086","1,631","3,717","0,2186470588"
18,"2,31","1,832","4,142","0,2301111111"
19,"2,617","2,105","4,722","0,2485263158"
20,"1,99","2,348","4,338","0,2169"
25,"8,68","3,634","12,314","0,49256"
30,"11,81","5,338","17,148","0,5716"
35,"9,875","7,368","17,243","0,4926571429"
40,"18,43","9,539","27,969","0,699225"
45,"26,77","11,89","38,66","0,8591111111"
50,"25,33","15,01","40,34","0,8068"
60,"35,13","21,35","56,48","0,9413333333"
70,"9,889","29,79","39,679","0,5668428571"
80,"9,973","38,67","48,643","0,6080375"
90,"19,54","48,47","68,01","0,7556666667"
100,"19,04","58,89","77,93","0,7793"
110,"25,64","69,9","95,54","0,8685454545"
120,"26,24","81,09","107,33","0,8944166667"
130,"28,37","92,35","120,72","0,9286153846"
140,"29,99","103,5","133,49","0,9535"
150,"31,88","114,3","146,18","0,9745333333"